dataset_name,run_mode,feature_set,experiment_name,window_type,scenario_name,method_name,deployable,oracle_type,fallback_used,fallback_type,fallback_reason,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy,max_switches
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_2,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.377,1.112,0.0,-0.788,2,1,1,oracle_dp_feasibility_selector,2
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_2,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.1,0.0,1.2,0.088,-0.699,5,8,3,global_best_model,2
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_2,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.06,0.027,1.21,0.099,-0.689,6,4,4,budgeted_dp_feasibility_selector,2
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_2,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.06,0.05,1.229,0.118,-0.67,4,3,5,dp_feasibility_selector,2
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_2,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.063,0.046,1.258,0.147,-0.641,7,5,6,greedy_feasibility_selector,2
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_2,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.066,0.0,1.286,0.174,-0.614,9,6,7,operational_loss_ensemble,2
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_2,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.081,0.0,1.299,0.188,-0.6,8,7,8,simple_ensemble,2
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_2,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,1.354,0.0,1.899,0.788,0.0,1,9,9,oracle_realized_demand,2
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_4,Full-Outcome Oracle DP,False,full_outcome_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.377,1.112,0.0,-0.788,2,1,1,full_outcome_oracle_dp_feasibility_selector,4
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_4,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.377,1.112,0.0,-0.788,2,1,1,oracle_dp_feasibility_selector,4
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_4,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.1,0.0,1.2,0.088,-0.699,6,8,3,global_best_model,4
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_4,Budgeted DP,True,none,False,none,none,0.057,20737263.837,104.679,33620.799,0.008,205,4.143,1.028,0.095,0.06,0.043,1.226,0.114,-0.674,5,4,4,budgeted_dp_feasibility_selector,4
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_4,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.06,0.05,1.229,0.118,-0.67,4,3,5,dp_feasibility_selector,4
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_4,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.063,0.046,1.258,0.147,-0.641,7,5,6,greedy_feasibility_selector,4
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_4,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.066,0.0,1.286,0.174,-0.614,9,6,7,operational_loss_ensemble,4
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_4,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.081,0.0,1.299,0.188,-0.6,8,7,8,simple_ensemble,4
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_4,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,1.354,0.0,1.899,0.788,0.0,1,9,9,oracle_realized_demand,4
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_8,Full-Outcome Oracle DP,False,full_outcome_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.377,1.112,0.0,-0.788,2,1,1,full_outcome_oracle_dp_feasibility_selector,8
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_8,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.377,1.112,0.0,-0.788,2,1,1,oracle_dp_feasibility_selector,8
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_8,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.1,0.0,1.2,0.088,-0.699,6,8,3,global_best_model,8
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_8,Budgeted DP,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.06,0.05,1.229,0.118,-0.67,4,3,4,budgeted_dp_feasibility_selector,8
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_8,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.06,0.05,1.229,0.118,-0.67,4,3,4,dp_feasibility_selector,8
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_8,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.063,0.046,1.258,0.147,-0.641,7,5,6,greedy_feasibility_selector,8
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_8,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.066,0.0,1.286,0.174,-0.614,9,6,7,operational_loss_ensemble,8
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_8,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.081,0.0,1.299,0.188,-0.6,8,7,8,simple_ensemble,8
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_8,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,1.354,0.0,1.899,0.788,0.0,1,9,9,oracle_realized_demand,8
