dataset_name,run_mode,grain_level,intermittency_bucket,scenario_name,method_name,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy
m5,quick,item_store,all,dataco_high,Operational Ensemble,0.356,108135.916,103492280.599,301.579,0.024,0,0.977,0.318,0.08,0.0,1.375,-8.796,3,2,2,operational_loss_ensemble
m5,quick,item_store,all,dataco_high,Global Best,0.368,110676.328,162696085.273,1279.259,0.089,0,1.0,0.5,0.341,0.0,1.841,-8.331,4,3,3,global_best_model
m5,quick,item_store,all,dataco_high,Simple Ensemble,0.332,99640.008,180837097.651,4450.693,0.233,0,0.9,0.556,1.185,0.0,2.641,-7.53,2,5,4,simple_ensemble
m5,quick,item_store,all,dataco_high,Feasibility-Aware,0.371,113801.405,698994798.344,1964.178,0.075,661,1.028,2.148,0.523,0.5,4.199,-5.972,6,4,5,feasibility_aware_selector
m5,quick,item_store,all,dataco_high,Best Stability,0.408,120773.556,98996562.163,26601.482,0.552,0,1.091,0.304,7.082,0.0,8.477,-1.694,7,7,6,best_stability_model
m5,quick,item_store,all,dataco_high,Oracle,0.0,30439.038,1012058598.054,25490.556,0.543,0,0.275,3.11,6.786,0.0,10.171,0.0,1,6,7,oracle_realized_demand
m5,quick,item_store,all,dataco_severe,Smoothed Alpha 0.25,0.368,112942.274,40225501.493,101.408,0.01,0,1.02,0.124,0.04,0.0,1.184,-12.171,4,1,1,feasibility_aware_smoothed_alpha_0_25
m5,quick,item_store,all,dataco_severe,Operational Ensemble,0.356,108135.916,103492280.599,301.579,0.024,0,0.977,0.318,0.118,0.0,1.413,-11.942,3,2,2,operational_loss_ensemble
m5,quick,item_store,all,dataco_severe,Global Best,0.368,110676.328,162696085.273,1279.259,0.089,0,1.0,0.5,0.5,0.0,2.0,-11.354,4,3,3,global_best_model
m5,quick,item_store,all,dataco_severe,Simple Ensemble,0.332,99640.008,180837097.651,4450.693,0.233,0,0.9,0.556,1.741,0.0,3.197,-10.158,2,5,4,simple_ensemble
m5,quick,item_store,all,dataco_severe,Feasibility-Aware,0.371,113801.405,698994798.344,1964.178,0.075,661,1.028,2.148,0.768,0.5,4.445,-8.91,6,4,5,feasibility_aware_selector
m5,quick,item_store,all,dataco_severe,Best Stability,0.408,120773.556,98996562.163,26601.482,0.552,0,1.091,0.304,10.404,0.0,11.799,-1.555,7,7,6,best_stability_model
m5,quick,item_store,all,dataco_severe,Oracle,0.0,30439.038,1012058598.054,25490.556,0.543,0,0.275,3.11,9.969,0.0,13.355,0.0,1,6,7,oracle_realized_demand
