run_mode,scenario_name,lambda_execution,late_delivery_rate_anchor,source,fallback_used,method_name,method_family,method_variant,strategy,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,rank_by_normalized_total_loss,rank_by_WAPE,rank_by_execution_penalty,gap_to_oracle,smoothing_alpha,ensemble_weight_basis,ensemble_weight_entropy,selected_blend,validation_cv_normalized_loss
quick,dataco_high,0.341,0.581,dataco_derived,False,Scenario Alpha,FeasibilityAwareSmoothed,scenario_based_alpha,feasibility_aware_smoothed_scenario_alpha,0.109,4515961.102,109.008,102.215,0.001,9,0.226,1.5,0.131,0.0,0.024,1.655,6,7,3,0.101,0.25,,,,1.994
quick,dataco_high,0.341,0.581,dataco_derived,False,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_25,0.109,4515961.102,109.008,102.215,0.001,9,0.226,1.5,0.131,0.0,0.024,1.655,6,7,3,0.101,0.25,,,,1.994
quick,dataco_high,0.341,0.581,dataco_derived,False,Best Stability,Baseline,,best_stability_model,0.188,5263648.54,14.814,0.0,0.0,0,0.184,1.748,0.018,0.0,0.0,1.766,8,16,1,0.211,,,,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Utility Alpha,FeasibilityAwareSmoothed,utility_based_alpha,feasibility_aware_smoothed_utility_alpha,0.109,5373682.296,42.201,0.0,0.0,0,0.095,1.785,0.051,0.0,0.0,1.836,9,3,1,0.281,0.1,,,,1.98
quick,dataco_high,0.341,0.581,dataco_derived,False,Best Inventory,Baseline,,best_inventory_cost_model,0.109,3010924.926,414.964,546133.345,0.284,0,0.764,1.0,0.5,0.341,0.0,1.841,10,4,14,0.286,,,,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Global Best,Baseline,,global_best_model,0.109,3010924.926,414.964,546133.345,0.284,0,0.764,1.0,0.5,0.341,0.0,1.841,10,4,14,0.286,,,,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Family Best,Baseline,,family_best_model,0.11,3064462.341,411.535,537406.724,0.279,0,0.764,1.018,0.496,0.335,0.0,1.849,12,9,13,0.294,,,,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_50,0.108,3603641.853,222.281,22311.979,0.041,162,0.383,1.197,0.268,0.014,0.432,1.911,13,2,5,0.356,0.5,,,,2.08
quick,dataco_high,0.341,0.581,dataco_derived,False,Stability-Aware,Baseline,,stability_aware_selector,0.113,3251369.903,384.274,402775.817,0.258,213,0.531,1.08,0.463,0.251,0.568,2.362,14,10,12,0.807,,,,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_75,0.109,3171084.953,313.946,162839.995,0.16,444,0.526,1.053,0.378,0.102,1.184,2.717,15,6,10,1.162,0.75,,,,2.074
