scenario_name,lambda_execution,objective_name,method_name,method_family,strategy,metric_value,objective_rank
baseline,0.05,gap_to_oracle,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,0.495,10
baseline,0.05,gap_to_oracle,Best Stability,Baseline,best_stability_model,0.573,11
baseline,0.05,gap_to_oracle,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,0.643,12
baseline,0.05,gap_to_oracle,Stability-Aware,Baseline,stability_aware_selector,0.746,13
baseline,0.05,gap_to_oracle,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,0.893,14
baseline,0.05,gap_to_oracle,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,0.893,14
baseline,0.05,gap_to_oracle,Feasibility-Aware,Baseline,feasibility_aware_selector,1.718,16
baseline,0.05,inventory_cost,Oracle,Oracle,oracle_realized_demand,1633182.571,1
baseline,0.05,inventory_cost,Best Inventory,Baseline,best_inventory_cost_model,3010924.926,2
baseline,0.05,inventory_cost,Global Best,Baseline,global_best_model,3010924.926,2
baseline,0.05,inventory_cost,Family Best,Baseline,family_best_model,3064462.341,4
baseline,0.05,inventory_cost,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,3156505.409,5
baseline,0.05,inventory_cost,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,3156505.409,5
baseline,0.05,inventory_cost,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,3157861.074,7
baseline,0.05,inventory_cost,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,3157861.074,7
baseline,0.05,inventory_cost,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,3201550.617,9
baseline,0.05,inventory_cost,Stability-Aware,Baseline,stability_aware_selector,3251369.903,10
baseline,0.05,inventory_cost,Feasibility-Aware,Baseline,feasibility_aware_selector,3375551.068,11
baseline,0.05,inventory_cost,Simple Ensemble,ReferenceEnsemble,simple_ensemble,3412038.615,12
baseline,0.05,inventory_cost,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,3593970.514,13
baseline,0.05,inventory_cost,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,4515961.102,14
baseline,0.05,inventory_cost,Best Stability,Baseline,best_stability_model,5263648.54,15
baseline,0.05,inventory_cost,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,5373682.296,16
baseline,0.05,max_period_plan_change_pct,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,0.095,1
baseline,0.05,max_period_plan_change_pct,Best Stability,Baseline,best_stability_model,0.184,2
baseline,0.05,max_period_plan_change_pct,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,0.226,3
baseline,0.05,max_period_plan_change_pct,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,0.383,4
baseline,0.05,max_period_plan_change_pct,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,0.525,5
